Age,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,AgeGroup
37,Research & Development,10,Bachelor,Medical,1,High,Female,High,Laboratory Technician,Low,3452,Outstanding,Medium,Better,No,36-45
46,Research & Development,7,Master,Medical,1,High,Female,High,Manufacturing Director,High,5258,Excellent,High,Best,No,46-55
41,Sales,4,Bachelor,Marketing,1,Low,Male,High,Sales Executive,Medium,9355,Excellent,High,Better,Yes,36-45
50,Research & Development,10,Bachelor,Technical Degree,1,High,Male,Medium,Healthcare Representative,Very High,10496,Excellent,Very High,Better,No,46-55
40,Sales,22,College,Marketing,1,High,Male,Medium,Sales Executive,High,6380,Excellent,Low,Better,Yes,36-45
31,Research & Development,9,Master,Life Sciences,1,High,Male,Medium,Research Scientist,Medium,2657,Excellent,Very High,Better,No,26-35
21,Sales,12,Bachelor,Life Sciences,1,High,Female,Very High,Sales Representative,Medium,2716,Excellent,Very High,Better,Yes,18-25
29,Research & Development,23,Bachelor,Life Sciences,1,High,Male,High,Research Scientist,Very High,2201,Excellent,Very High,Better,No,26-35
35,Research & Development,9,Master,Life Sciences,1,High,Male,Medium,Healthcare Representative,Medium,6540,Excellent,High,Better,No,36-45
27,Research & Development,1,College,Medical,1,High,Male,High,Laboratory Technician,Medium,3816,Excellent,Medium,Better,No,26-35
28,Sales,9,Master,Life Sciences,1,Medium,Male,High,Sales Executive,Very High,5253,Excellent,Very High,Better,No,26-35
49,Research & Development,7,Bachelor,Other,1,Medium,Male,Medium,Healthcare Representative,High,10965,Outstanding,High,Better,No,46-55
51,Sales,14,College,Life Sciences,1,High,Female,High,Sales Executive,Very High,4936,Excellent,High,Good,No,46-55
36,Research & Development,2,Bachelor,Life Sciences,1,High,Female,High,Research Scientist,High,2543,Excellent,Medium,Better,No,36-45
34,Sales,19,Bachelor,Marketing,1,Low,Male,Very High,Sales Executive,Very High,5304,Excellent,Medium,Good,Yes,26-35
55,Research & Development,2,Bachelor,Life Sciences,1,High,Female,High,Manager,Very High,16659,Excellent,High,Better,No,56-65
24,Sales,10,Master,Marketing,1,High,Female,High,Sales Executive,High,4260,Excellent,Very High,Best,No,18-25
30,Sales,2,Below College,Technical Degree,1,High,Male,High,Sales Representative,Medium,2476,Excellent,Low,Better,No,26-35
26,Research & Development,3,Below College,Technical Degree,1,High,Male,High,Research Scientist,Low,3102,Outstanding,High,Better,Yes,26-35
22,Research & Development,11,Bachelor,Medical,1,Low,Female,High,Research Scientist,Medium,2244,Excellent,Very High,Better,No,18-25
36,Sales,2,College,Medical,1,Medium,Male,Medium,Sales Executive,High,7596,Excellent,Medium,Better,No,36-45
30,Research & Development,4,Bachelor,Technical Degree,1,High,Male,High,Research Scientist,Very High,2285,Outstanding,High,Better,Yes,26-35
37,Research & Development,14,Bachelor,Life Sciences,1,High,Female,High,Laboratory Technician,Low,3034,Excellent,High,Good,No,36-45
40,Sales,2,College,Marketing,1,High,Female,High,Sales Executive,Medium,5715,Excellent,High,Better,No,36-45
42,Research & Development,1,Master,Life Sciences,1,Medium,Female,High,Laboratory Technician,Low,2576,Excellent,Medium,Better,No,36-45
37,Research & Development,10,Master,Life Sciences,1,High,Male,High,Manufacturing Director,Medium,4197,Excellent,Very High,Good,No,36-45
43,Research & Development,12,Bachelor,Life Sciences,1,Low,Male,Medium,Research Director,Medium,14336,Excellent,High,Better,No,36-45
40,Research & Development,2,Bachelor,Medical,1,Medium,Female,Medium,Laboratory Technician,High,3448,Outstanding,Medium,Better,No,36-45
54,Research & Development,5,College,Medical,1,Low,Male,High,Research Director,Low,19406,Excellent,High,Good,No,46-55
34,Sales,4,Master,Marketing,1,High,Female,High,Sales Executive,High,6538,Excellent,Low,Better,No,26-35
31,Research & Development,7,College,Medical,1,Medium,Female,High,Manufacturing Director,Low,4306,Excellent,Medium,Bad,No,26-35
43,Research & Development,21,Bachelor,Medical,1,High,Male,High,Laboratory Technician,Very High,2258,Outstanding,Low,Better,No,36-45
43,Research & Development,8,Master,Other,1,High,Female,High,Healthcare Representative,High,4522,Excellent,Very High,Better,No,36-45
25,Sales,4,College,Life Sciences,1,Medium,Female,Medium,Sales Executive,Very High,4487,Excellent,Medium,Better,No,26-35
37,Research & Development,25,Doctor,Medical,1,Medium,Female,High,Research Scientist,High,4449,Excellent,Low,Better,No,36-45
31,Research & Development,1,College,Life Sciences,1,High,Male,Medium,Laboratory Technician,Low,2218,Excellent,High,Better,No,26-35
39,Research & Development,1,Below College,Life Sciences,1,Medium,Male,High,Manager,High,19197,Excellent,High,Better,No,36-45
56,Sales,6,Bachelor,Life Sciences,1,High,Female,Very High,Sales Executive,Low,13212,Excellent,Very High,Good,No,56-65
30,Sales,12,Bachelor,Technical Degree,1,Medium,Female,High,Sales Executive,High,6577,Excellent,Medium,Better,No,26-35
41,Sales,1,Bachelor,Marketing,1,Medium,Male,Very High,Sales Executive,Low,8392,Excellent,High,Better,No,36-45
28,Research & Development,17,College,Medical,1,High,Male,High,Laboratory Technician,Low,4558,Excellent,Very High,Better,No,26-35
25,Research & Development,3,Bachelor,Medical,1,Low,Male,High,Laboratory Technician,Low,4031,Excellent,High,Better,Yes,26-35
52,Research & Development,3,Bachelor,Medical,1,High,Male,Medium,Manufacturing Director,High,7969,Excellent,High,Better,No,46-55
45,Research & Development,10,College,Life Sciences,1,Low,Male,High,Research Scientist,Very High,2654,Outstanding,Very High,Good,No,46-55
52,Research & Development,4,College,Life Sciences,1,High,Female,High,Manager,Very High,16555,Excellent,Very High,Bad,No,46-55
42,Research & Development,29,College,Life Sciences,1,Low,Female,High,Research Scientist,High,4556,Excellent,Medium,Better,No,36-45
30,Research & Development,2,Bachelor,Life Sciences,1,High,Female,Low,Manufacturing Director,Very High,6091,Outstanding,High,Better,No,26-35
60,Research & Development,7,Bachelor,Life Sciences,1,Low,Female,High,Manager,Low,19566,Excellent,Very High,Bad,No,56-65
46,Research & Development,18,Bachelor,Medical,1,High,Female,High,Manufacturing Director,High,4810,Excellent,High,Good,No,46-55
42,Research & Development,28,Master,Technical Degree,1,High,Female,Medium,Healthcare Representative,Very High,4523,Excellent,Very High,Best,No,36-45
24,Sales,1,Below College,Technical Degree,1,Low,Female,High,Sales Representative,Medium,3202,Excellent,Medium,Better,Yes,18-25
34,Sales,6,College,Marketing,1,High,Female,Low,Sales Representative,High,2351,Excellent,Very High,Good,Yes,26-35
38,Research & Development,2,College,Life Sciences,1,High,Male,High,Laboratory Technician,Very High,1702,Outstanding,High,Better,No,36-45
40,Sales,2,Master,Life Sciences,1,High,Female,High,Manager,High,18041,Excellent,Very High,Better,No,36-45
26,Research & Development,23,Bachelor,Life Sciences,1,Low,Female,High,Research Scientist,Very High,2886,Outstanding,Medium,Bad,No,26-35
30,Research & Development,3,Bachelor,Life Sciences,1,High,Male,High,Laboratory Technician,Very High,2097,Excellent,High,Bad,No,26-35
29,Research & Development,3,Master,Medical,1,Medium,Male,Medium,Research Director,High,11935,Excellent,High,Better,No,26-35
29,Research & Development,25,Doctor,Technical Degree,1,High,Female,Medium,Research Scientist,Medium,2546,Excellent,Medium,Best,Yes,26-35
19,Human Resources,2,College,Technical Degree,1,Low,Male,Medium,Human Resources,Very High,2564,Excellent,High,Best,Yes,18-25
30,Sales,22,Master,Other,1,High,Female,High,Sales Executive,Low,8412,Excellent,High,Better,No,26-35
57,Sales,29,Bachelor,Marketing,1,Low,Male,Medium,Manager,Very High,14118,Excellent,High,Good,No,56-65
50,Research & Development,29,Master,Life Sciences,1,Medium,Male,Medium,Manager,High,17046,Excellent,Medium,Better,No,46-55
30,Research & Development,2,Bachelor,Medical,1,High,Female,High,Laboratory Technician,Very High,2564,Excellent,High,Good,No,26-35
60,Sales,28,Bachelor,Marketing,1,High,Female,Medium,Sales Executive,Low,10266,Excellent,Very High,Best,No,56-65
47,Research & Development,2,College,Medical,1,Low,Female,High,Manufacturing Director,Very High,5070,Excellent,High,Better,No,46-55
46,Research & Development,2,Bachelor,Life Sciences,1,Low,Male,High,Research Director,High,17861,Excellent,High,Bad,No,46-55
35,Research & Development,22,Bachelor,Life Sciences,1,High,Male,Low,Laboratory Technician,High,4230,Excellent,High,Better,No,36-45
54,Research & Development,8,Master,Life Sciences,1,High,Female,High,Laboratory Technician,High,3780,Excellent,High,Better,No,46-55
34,Research & Development,2,Master,Life Sciences,1,High,Male,Medium,Research Scientist,High,2768,Excellent,High,Better,No,26-35
46,Sales,10,Bachelor,Marketing,1,High,Female,Medium,Sales Executive,Very High,9071,Excellent,High,Better,No,46-55
31,Research & Development,9,Below College,Life Sciences,1,High,Male,High,Manufacturing Director,Medium,10648,Outstanding,Very High,Best,No,26-35
33,Research & Development,15,Below College,Medical,1,Medium,Male,High,Manager,High,13610,Excellent,Very High,Best,Yes,26-35
33,Research & Development,10,Below College,Medical,1,Low,Male,Low,Laboratory Technician,Very High,3408,Excellent,Low,Better,Yes,26-35
30,Sales,7,Below College,Marketing,1,High,Male,High,Sales Representative,Medium,2983,Excellent,Low,Better,No,26-35
35,Research & Development,16,Bachelor,Life Sciences,1,High,Male,High,Healthcare Representative,High,7632,Excellent,High,Better,No,36-45
31,Research & Development,20,Bachelor,Life Sciences,1,Low,Male,High,Healthcare Representative,High,9824,Excellent,Low,Better,Yes,26-35
34,Human Resources,23,Bachelor,Human Resources,1,Medium,Female,High,Human Resources,Low,9950,Excellent,High,Better,Yes,26-35
42,Research & Development,5,College,Other,1,Medium,Male,High,Laboratory Technician,High,2093,Excellent,Very High,Better,No,36-45
36,Sales,10,Master,Medical,1,Medium,Male,High,Sales Executive,Very High,9980,Excellent,Very High,Good,No,36-45
22,Research & Development,4,Below College,Technical Degree,1,High,Male,Medium,Laboratory Technician,High,3894,Excellent,High,Better,Yes,18-25
48,Sales,2,Doctor,Marketing,1,Medium,Female,High,Sales Executive,Very High,4051,Excellent,Low,Better,No,46-55
55,Sales,18,Doctor,Life Sciences,1,Low,Female,High,Manager,Medium,16835,Outstanding,Very High,Better,No,56-65
41,Sales,10,College,Life Sciences,1,High,Male,High,Sales Executive,Very High,6230,Excellent,Very High,Better,No,36-45
35,Sales,1,Bachelor,Marketing,1,Medium,Male,High,Sales Executive,High,4717,Excellent,High,Better,No,36-45
40,Research & Development,6,Bachelor,Life Sciences,1,Medium,Female,High,Manufacturing Director,High,13237,Excellent,High,Better,No,36-45
39,Research & Development,8,Below College,Life Sciences,1,High,Female,High,Laboratory Technician,High,3755,Excellent,Low,Better,No,36-45
31,Sales,2,Below College,Life Sciences,1,Medium,Male,High,Sales Executive,Very High,6582,Excellent,High,Best,No,26-35
42,Research & Development,24,Bachelor,Medical,1,High,Male,High,Manufacturing Director,Low,7406,Outstanding,Very High,Good,No,36-45
45,Sales,2,Bachelor,Other,1,High,Male,High,Sales Executive,Medium,4805,Excellent,Medium,Best,No,46-55
26,Human Resources,17,Master,Life Sciences,1,Medium,Female,High,Human Resources,High,2741,Excellent,Medium,Good,Yes,26-35
29,Research & Development,19,Bachelor,Technical Degree,1,High,Male,High,Manufacturing Director,Very High,4262,Excellent,Medium,Best,No,26-35
33,Research & Development,1,Doctor,Medical,1,Low,Female,Very High,Research Director,High,16184,Excellent,High,Better,No,26-35
31,Sales,7,Bachelor,Life Sciences,1,High,Male,Medium,Manager,Very High,11557,Outstanding,High,Good,No,26-35
18,Sales,5,Bachelor,Marketing,1,Medium,Male,High,Sales Representative,Medium,1878,Excellent,Very High,Better,Yes,18-25
40,Sales,28,Bachelor,Other,1,High,Male,Low,Sales Executive,Low,10932,Excellent,High,Better,No,36-45
41,Research & Development,2,Master,Other,1,Low,Female,Medium,Healthcare Representative,High,6811,Excellent,Low,Better,No,36-45
26,Sales,29,College,Medical,1,Low,Male,High,Sales Executive,High,4306,Excellent,Low,Better,No,26-35
35,Sales,1,Bachelor,Medical,1,Low,Female,High,Sales Executive,High,4859,Excellent,Very High,Better,No,36-45
34,Sales,21,Master,Life Sciences,1,High,Male,Very High,Sales Executive,Very High,5337,Excellent,Very High,Better,No,26-35
26,Research & Development,24,Bachelor,Technical Degree,1,High,Male,Low,Laboratory Technician,Very High,2340,Excellent,Medium,Bad,Yes,26-35
37,Research & Development,1,Bachelor,Technical Degree,1,Medium,Female,High,Manufacturing Director,Very High,7491,Excellent,Very High,Best,No,36-45
46,Research & Development,18,Below College,Medical,1,Low,Female,High,Healthcare Representative,High,10527,Excellent,Very High,Good,No,46-55
41,Sales,2,Doctor,Life Sciences,1,Medium,Female,High,Manager,Low,16595,Excellent,Medium,Better,No,36-45
37,Sales,9,Master,Medical,1,Low,Male,High,Sales Executive,Medium,8834,Excellent,Very High,Better,No,36-45
52,Research & Development,6,College,Technical Degree,1,High,Male,High,Research Scientist,Low,5577,Excellent,Medium,Better,No,46-55
32,Sales,11,Master,Other,1,High,Male,Very High,Sales Executive,High,4707,Excellent,Very High,Better,Yes,26-35
24,Sales,24,Bachelor,Medical,1,High,Male,High,Sales Representative,Very High,2400,Excellent,High,Better,No,18-25
38,Research & Development,10,Bachelor,Medical,1,High,Female,High,Healthcare Representative,High,9824,Excellent,High,Better,No,36-45
37,Research & Development,1,Master,Life Sciences,1,Medium,Female,High,Manufacturing Director,Medium,6447,Excellent,Medium,Good,No,36-45
49,Research & Development,18,Master,Life Sciences,1,High,Male,Medium,Research Director,High,19502,Excellent,High,Better,No,46-55
24,Research & Development,23,Bachelor,Medical,1,Medium,Male,Very High,Research Scientist,Very High,2725,Excellent,Medium,Better,No,18-25
26,Sales,28,College,Marketing,1,Low,Male,High,Sales Executive,Medium,6272,Outstanding,Very High,Best,No,26-35
24,Research & Development,17,College,Other,1,High,Male,Medium,Laboratory Technician,Medium,2127,Outstanding,Very High,Better,No,18-25
50,Human Resources,3,Bachelor,Medical,1,Low,Male,High,Manager,Medium,18200,Excellent,High,Better,No,46-55
25,Sales,13,Below College,Medical,1,Medium,Male,High,Sales Representative,High,2096,Excellent,High,Better,No,26-35
24,Research & Development,7,Bachelor,Life Sciences,1,Low,Female,High,Laboratory Technician,High,2886,Excellent,Very High,Better,Yes,18-25
30,Sales,12,Master,Life Sciences,1,Medium,Male,Medium,Sales Representative,Low,2033,Excellent,High,Best,Yes,26-35
34,Research & Development,1,College,Life Sciences,1,Medium,Male,Medium,Research Scientist,Very High,3622,Excellent,Very High,Better,No,26-35
31,Sales,13,Master,Medical,1,Medium,Male,High,Sales Executive,Low,4233,Excellent,High,Bad,Yes,26-35
35,Research & Development,25,College,Other,1,Low,Male,Medium,Laboratory Technician,Very High,3681,Excellent,Very High,Better,No,36-45
31,Sales,6,Master,Medical,1,Low,Male,Very High,Sales Executive,Very High,5460,Outstanding,Very High,Best,No,26-35
27,Research & Development,6,Master,Medical,1,Low,Female,Medium,Research Scientist,High,2187,Excellent,High,Good,No,26-35
37,Sales,2,Bachelor,Marketing,1,High,Male,High,Sales Executive,High,9602,Excellent,High,Good,No,36-45
20,Research & Development,1,Bachelor,Life Sciences,1,High,Female,Medium,Research Scientist,Medium,2836,Excellent,Very High,Best,No,18-25
42,Research & Development,2,Master,Life Sciences,1,High,Female,High,Healthcare Representative,Very High,4089,Excellent,Medium,Better,No,36-45
43,Research & Development,6,Master,Other,1,Medium,Male,Medium,Research Director,Very High,16627,Excellent,High,Good,No,36-45
38,Research & Development,1,Below College,Life Sciences,1,High,Female,High,Research Scientist,Low,2619,Excellent,Very High,Good,No,36-45
43,Research & Development,9,Doctor,Medical,1,High,Male,High,Laboratory Technician,High,5679,Excellent,Medium,Better,No,36-45
48,Research & Development,1,Master,Life Sciences,1,High,Female,Medium,Manager,Low,15402,Excellent,Low,Bad,No,46-55
44,Human Resources,1,Master,Life Sciences,1,Low,Female,Medium,Human Resources,High,5985,Excellent,Medium,Best,No,36-45
34,Sales,14,Bachelor,Technical Degree,1,High,Female,High,Sales Representative,High,2579,Excellent,Very High,Better,No,26-35
27,Sales,2,Below College,Marketing,1,High,Male,High,Sales Representative,Low,3041,Excellent,Medium,Better,Yes,26-35
21,Sales,22,Below College,Technical Degree,1,High,Male,High,Sales Representative,High,3447,Excellent,High,Better,No,18-25
44,Research & Development,3,Master,Other,1,High,Male,High,Manager,Very High,19513,Excellent,Low,Best,No,36-45
22,Research & Development,6,Below College,Medical,1,Low,Male,High,Research Scientist,High,2773,Outstanding,Very High,Better,No,18-25
33,Sales,8,Master,Marketing,1,High,Male,High,Sales Executive,High,7104,Excellent,Very High,Better,No,26-35
32,Research & Development,9,Master,Life Sciences,1,Low,Female,High,Research Scientist,Very High,6322,Excellent,Very High,Good,No,26-35
30,Research & Development,3,Bachelor,Medical,1,High,Female,High,Research Scientist,High,2083,Outstanding,High,Better,No,26-35
53,Sales,1,Below College,Medical,1,High,Female,High,Sales Executive,Low,8381,Outstanding,Very High,Best,No,46-55
34,Research & Development,1,Doctor,Life Sciences,1,Medium,Male,High,Research Scientist,Very High,2691,Excellent,Very High,Good,No,26-35
45,Sales,26,Master,Life Sciences,1,Low,Female,High,Sales Executive,Low,4286,Excellent,Very High,Better,Yes,46-55
26,Research & Development,6,Bachelor,Life Sciences,1,High,Female,High,Laboratory Technician,Very High,2659,Excellent,High,Better,No,26-35
37,Research & Development,3,Bachelor,Other,1,High,Male,High,Manufacturing Director,High,9434,Excellent,High,Better,No,36-45
29,Sales,3,College,Medical,1,Medium,Female,High,Sales Executive,High,5561,Excellent,Low,Good,No,26-35
35,Research & Development,6,Master,Life Sciences,1,Medium,Male,Low,Research Scientist,Very High,6646,Excellent,Medium,Better,No,36-45
33,Research & Development,6,Bachelor,Life Sciences,1,High,Male,High,Healthcare Representative,Very High,7725,Outstanding,High,Bad,No,26-35
54,Human Resources,19,Master,Medical,1,High,Male,High,Human Resources,Medium,10725,Excellent,High,Best,No,46-55
36,Research & Development,9,College,Medical,1,Medium,Male,Medium,Manufacturing Director,Medium,8847,Excellent,High,Better,No,36-45
27,Research & Development,3,Master,Medical,1,Low,Male,Medium,Research Scientist,Very High,2045,Excellent,Very High,Better,No,26-35
20,Research & Development,10,Below College,Medical,1,High,Male,High,Research Scientist,High,1009,Excellent,Very High,Better,Yes,18-25
33,Research & Development,3,Bachelor,Life Sciences,1,Low,Male,High,Research Scientist,Low,3348,Excellent,Low,Better,Yes,26-35
35,Research & Development,3,Bachelor,Life Sciences,1,High,Male,Medium,Laboratory Technician,High,1281,Excellent,High,Better,No,36-45
23,Research & Development,4,Bachelor,Medical,1,Low,Male,Very High,Research Scientist,Low,2819,Excellent,Low,Best,No,18-25
25,Sales,8,Bachelor,Life Sciences,1,High,Male,Very High,Sales Executive,Medium,4851,Outstanding,High,Better,No,26-35
38,Sales,7,Master,Marketing,1,High,Female,Medium,Sales Executive,Very High,4028,Outstanding,Low,Better,No,36-45
29,Research & Development,1,Master,Life Sciences,1,Medium,Male,Low,Research Scientist,Very High,2720,Excellent,Very High,Better,No,26-35
48,Sales,2,Below College,Marketing,1,Medium,Male,Very High,Sales Executive,Medium,8120,Excellent,Very High,Better,No,46-55
27,Sales,3,Below College,Medical,1,High,Female,Very High,Sales Executive,Very High,4647,Outstanding,Medium,Better,No,26-35
37,Research & Development,10,College,Life Sciences,1,High,Male,Very High,Research Scientist,Very High,4680,Excellent,Low,Better,No,36-45
50,Research & Development,28,Below College,Medical,1,High,Male,Very High,Laboratory Technician,High,3221,Excellent,High,Better,No,46-55
34,Research & Development,9,Bachelor,Medical,1,High,Female,Medium,Healthcare Representative,Medium,8621,Excellent,Medium,Best,No,26-35
24,Sales,3,College,Life Sciences,1,Low,Female,High,Sales Executive,High,4577,Excellent,Low,Better,Yes,18-25
39,Research & Development,2,Master,Technical Degree,1,High,Female,Medium,Healthcare Representative,High,4553,Excellent,Low,Better,No,36-45
32,Sales,10,Bachelor,Marketing,1,High,Male,High,Sales Executive,Very High,5396,Excellent,Very High,Good,No,26-35
50,Sales,8,College,Technical Degree,1,Medium,Male,High,Sales Executive,High,6796,Excellent,Low,Better,Yes,46-55
38,Research & Development,1,Master,Life Sciences,1,Medium,Female,Very High,Healthcare Representative,Very High,7625,Excellent,High,Good,No,36-45
27,Research & Development,1,College,Life Sciences,1,High,Female,High,Manufacturing Director,Low,7412,Excellent,Very High,Better,No,26-35
32,Research & Development,3,College,Life Sciences,1,High,Female,High,Research Director,Very High,11159,Excellent,Very High,Better,No,26-35
47,Sales,14,Master,Marketing,1,High,Male,High,Sales Executive,Low,4960,Excellent,Very High,Better,No,46-55
40,Sales,5,Master,Life Sciences,1,High,Male,Medium,Sales Executive,Low,10475,Outstanding,High,Better,No,36-45
53,Research & Development,7,Bachelor,Life Sciences,1,High,Male,Very High,Research Director,High,14814,Excellent,High,Better,No,46-55
41,Human Resources,10,Master,Human Resources,1,Medium,Male,Medium,Manager,Very High,19141,Excellent,Medium,Good,No,36-45
60,Sales,16,Master,Marketing,1,Low,Male,High,Sales Executive,Low,5405,Excellent,Very High,Better,No,56-65
27,Research & Development,10,College,Life Sciences,1,High,Male,High,Manufacturing Director,Low,8793,Outstanding,High,Good,No,26-35
41,Human Resources,1,Bachelor,Human Resources,1,High,Male,Medium,Manager,High,19189,Excellent,Medium,Better,No,36-45
50,Sales,8,Master,Marketing,1,High,Male,High,Sales Representative,Medium,3875,Excellent,Very High,Better,No,46-55
28,Research & Development,1,College,Life Sciences,1,Low,Female,Low,Research Scientist,Medium,2216,Excellent,Very High,Better,Yes,26-35
36,Research & Development,8,Bachelor,Life Sciences,1,Low,Female,Very High,Research Director,Low,11713,Excellent,Low,Better,No,36-45
38,Research & Development,1,Bachelor,Life Sciences,1,High,Female,High,Manufacturing Director,High,7861,Excellent,Very High,Best,No,36-45
44,Research & Development,24,Bachelor,Medical,1,Low,Male,Low,Laboratory Technician,High,3708,Excellent,High,Better,No,36-45
47,Sales,3,Bachelor,Medical,1,High,Female,High,Sales Executive,High,13770,Excellent,Very High,Good,No,46-55
30,Sales,27,Doctor,Marketing,1,High,Male,High,Sales Executive,Very High,5304,Outstanding,Very High,Good,No,26-35
29,Sales,10,Bachelor,Life Sciences,1,High,Male,High,Sales Representative,High,2642,Excellent,High,Better,No,26-35
42,Research & Development,19,Bachelor,Medical,1,High,Male,Very High,Research Scientist,High,2759,Excellent,Very High,Better,Yes,36-45
43,Sales,15,Bachelor,Life Sciences,1,High,Male,Medium,Sales Executive,Very High,6804,Excellent,High,Better,No,36-45
34,Research & Development,8,College,Medical,1,Medium,Female,High,Healthcare Representative,High,6142,Excellent,Very High,Better,No,26-35
23,Research & Development,9,Below College,Medical,1,Medium,Male,High,Laboratory Technician,Low,2500,Excellent,Very High,Best,No,18-25
39,Human Resources,3,Bachelor,Human Resources,1,High,Female,Very High,Human Resources,Medium,6389,Excellent,High,Bad,No,36-45
56,Research & Development,9,Bachelor,Medical,1,High,Male,High,Healthcare Representative,Very High,11103,Excellent,High,Good,No,56-65
40,Research & Development,2,Below College,Medical,1,High,Female,Medium,Research Scientist,Very High,2342,Outstanding,Very High,Good,No,36-45
27,Research & Development,7,Bachelor,Medical,1,High,Female,Medium,Healthcare Representative,Low,6811,Excellent,Low,Bad,No,26-35
29,Sales,10,Bachelor,Marketing,1,High,Male,High,Sales Representative,Medium,2297,Excellent,Very High,Better,No,26-35
53,Research & Development,6,Bachelor,Life Sciences,1,High,Male,High,Laboratory Technician,Very High,2450,Excellent,Very High,Better,No,46-55
35,Research & Development,2,Master,Life Sciences,1,High,Female,High,Healthcare Representative,Low,5093,Excellent,Low,Best,No,36-45
32,Research & Development,24,Master,Life Sciences,1,Low,Male,High,Laboratory Technician,Very High,5309,Excellent,Very High,Better,No,26-35
38,Research & Development,2,Doctor,Medical,1,High,Male,High,Research Scientist,High,3057,Excellent,Medium,Bad,No,36-45
34,Research & Development,8,Doctor,Life Sciences,1,Medium,Female,High,Manufacturing Director,Low,5121,Excellent,High,Better,No,26-35
52,Sales,3,Master,Marketing,1,High,Male,Medium,Manager,Low,16856,Excellent,Low,Best,No,46-55
33,Research & Development,1,Master,Other,1,High,Male,High,Research Scientist,Very High,2686,Excellent,High,Good,Yes,26-35
25,Sales,26,Below College,Medical,1,High,Female,High,Sales Executive,Very High,6180,Outstanding,Medium,Good,No,26-35
45,Sales,2,College,Technical Degree,1,Medium,Male,Low,Sales Representative,High,6632,Excellent,Low,Better,No,46-55
23,Research & Development,10,Below College,Medical,1,Low,Male,Very High,Research Scientist,High,3505,Excellent,Very High,Better,No,18-25
47,Sales,27,College,Life Sciences,1,Medium,Female,Very High,Sales Executive,High,6397,Excellent,Very High,Better,Yes,46-55
34,Sales,2,Bachelor,Other,1,High,Male,High,Sales Executive,Very High,6274,Outstanding,High,Better,No,26-35
55,Research & Development,2,Bachelor,Medical,1,High,Male,High,Manager,Low,19859,Excellent,Very High,Better,Yes,56-65
36,Sales,8,Master,Life Sciences,1,Low,Male,Medium,Sales Executive,Low,7587,Excellent,Medium,Better,No,36-45
52,Research & Development,19,Master,Medical,1,High,Male,High,Research Scientist,Very High,4258,Excellent,Low,Better,No,46-55
26,Research & Development,1,College,Life Sciences,1,Low,Female,Low,Laboratory Technician,Very High,4364,Excellent,Low,Better,No,26-35
29,Research & Development,27,Bachelor,Medical,1,Medium,Female,High,Healthcare Representative,High,4335,Excellent,Low,Good,No,26-35
26,Sales,8,Bachelor,Technical Degree,1,High,Male,Medium,Sales Executive,Low,5326,Excellent,High,Good,Yes,26-35
34,Research & Development,1,Master,Life Sciences,1,Medium,Female,Very High,Research Scientist,Very High,3280,Excellent,High,Better,No,26-35
54,Research & Development,19,Master,Medical,1,High,Female,High,Manufacturing Director,Low,5485,Excellent,Medium,Better,No,46-55
27,Sales,8,Below College,Marketing,1,High,Male,High,Sales Executive,Very High,4342,Excellent,Medium,Better,No,26-35
37,Research & Development,10,Below College,Life Sciences,1,High,Female,High,Research Scientist,Low,2782,Excellent,Medium,Good,No,36-45
38,Research & Development,2,Master,Life Sciences,1,Low,Female,Very High,Manufacturing Director,Low,5980,Excellent,Very High,Better,No,36-45
34,Research & Development,2,Master,Medical,1,High,Female,Medium,Research Scientist,Low,4381,Excellent,High,Better,No,26-35
35,Sales,8,Master,Life Sciences,1,Low,Female,High,Sales Representative,Very High,2572,Excellent,Medium,Good,No,36-45
30,Research & Development,1,Bachelor,Life Sciences,1,High,Male,Low,Laboratory Technician,High,3833,Outstanding,High,Better,No,26-35
40,Research & Development,2,College,Medical,1,High,Female,Very High,Healthcare Representative,Medium,4244,Outstanding,Very High,Better,No,36-45
34,Sales,8,College,Life Sciences,1,High,Female,High,Sales Executive,Low,6500,Excellent,Medium,Better,No,26-35
42,Research & Development,8,Bachelor,Life Sciences,1,Medium,Male,High,Manager,Very High,18430,Excellent,Medium,Good,No,36-45
23,Research & Development,6,Bachelor,Life Sciences,1,High,Male,Very High,Laboratory Technician,Low,1601,Outstanding,High,Better,Yes,18-25
24,Research & Development,9,Bachelor,Life Sciences,1,High,Male,Medium,Laboratory Technician,Medium,2694,Excellent,High,Better,No,18-25
52,Research & Development,11,Master,Life Sciences,1,High,Female,High,Laboratory Technician,High,3149,Outstanding,Medium,Better,No,46-55
50,Research & Development,2,Bachelor,Medical,1,High,Male,High,Research Director,High,17639,Excellent,Very High,Better,No,46-55
29,Research & Development,1,College,Life Sciences,1,Medium,Female,Medium,Laboratory Technician,Low,2319,Excellent,Very High,Better,Yes,26-35
33,Research & Development,7,Bachelor,Medical,1,High,Male,High,Research Director,High,11691,Excellent,Very High,Best,No,26-35
33,Sales,16,Bachelor,Marketing,1,Low,Female,High,Sales Executive,Low,5324,Excellent,High,Better,Yes,26-35
47,Research & Development,2,College,Other,1,High,Female,High,Manager,Very High,16752,Excellent,High,Good,No,46-55
